check,SUBJECT,type,online (fall),hybrid (fall),in-person (fall),online (spring),hybrid (spring),in-person (spring),trinity/pratt,major/minor/cert/none,BS/BA/both,ROTC,language,NOTES,Additional Notes
x,History:,department,52,20,1,64,14,1,t,major,BA,0,0,did not count senior thesis seminar,
x,Human Development:,,0,0,0,0,1,0,t,certificate,,0,0,research independent study not counted (research apprenticeship); capstone counted,
x,Information Science + Studies:,,9,3,0,16,1,1,t,certificate,,0,0,,
x,Innovation & Entrepreneurship:,,6,10,0,8,5,2,t,certificate,,0,0,,
x,International Comparative Studies:,department,37,13,1,40,16,3,t,major,BA,0,0,didn’t include senior honors seminar,
x,Jewish Studies Program:,,7,5,0,6,2,0,t,certificate,,0,0,,
x,Latino/a Studies in the Global South:,Romance Studies,5,0,0,10,0,0,t,certificate,,0,0,,
x,Linguistics:,department,2,6,0,8,6,2,t,major,BA,0,0,,
x,Slavic and Eurasian Studies:,department,4,1,0,2,1,1,t,major,BA,0,0,,
x,Literature:,department,22,7,1,30,1,1,t,major,BA,0,0,,
x,Markets & Management Studies:,,4,3,0,5,4,0,t,certificate,,0,0,,
x,Mathematics:,department,25,5,0,34,2,0,t,major,both,0,0,,
x,Mechanical Engineering:,department,14,2,0,10,2,0,p,major,BSE,0,0,engineering undergrad fellows projects not counted; special projects not counted,
x,Medieval & Renaissance Studies:,,13,1,0,15,1,0,t,major,BA,0,0,,
x,"Military Science, Army ROTC:",department,0,4,3,0,0,7,,,,1,0,,
x,Music:,department,22,53,7,31,58,10,t,major,BA,0,0,not sure how reliable these are - usually the small group / lessons are up to teacher discretion and can change halfway through,
x,"Naval Science, Navy ROTC:",department,0,10,0,0,1,7,,,,1,0,,
x,Neurosciences:,Psychology & Neuroscience,17,7,4,11,4,3,t,major,both,0,0,,
x,Philosophy:,department,7,9,0,6,6,0,t,major,BA,0,0,,
x,Physics:,department,6,10,0,13,5,1,t,major,both,0,0,,
x,"Policy, Journalism & Media Studies:",,5,4,0,2,4,0,t,certificate,,0,0,,
x,Political Science:,department,21,24,5,22,11,5,t,major,BA,0,0,,
x,Psychology:,Psychology & Neuroscience,24,16,1,32,7,4,t,major,both,0,0,didn’t count practicum; didn’t count SPIRE first year lecture; distinction thesis workshop,
x,Public Policy Studies:,,40,29,3,48,26,6,t,major,BA,0,0,"no internship requirement, no honors seminar",
x,Religious Studies:,department,21,5,1,21,1,2,t,major,BA,0,0,,
x,Romance Studies:,Romance Studies,7,3,0,8,0,0,t,major,BA,0,0,,
x,Science & Society:,,5,7,0,7,3,0,t,certificate,,0,0,,
x,Sociology:,department,26,10,2,33,3,3,t,major,BA,0,0,,
x,Statistical Science:,department,12,2,0,12,1,0,t,major,both,0,0,,
x,Sustainability Engagement:,,1,0,0,2,0,0,t,certificate,,0,0,,
x,Theater Studies:,department,12,11,0,10,12,0,t,major,BA,0,0,,
x,Hindi:,Asian & Middle Eastern Studies,4,0,0,4,0,0,t,,,0,1,,
x,Arabic:,Asian & Middle Eastern Studies,2,2,0,3,2,0,t,,,0,1,,
o,Chinese:,Asian & Middle Eastern Studies,10,1,0,11,0,0,t,,,0,1,,
o,Creole:,,1,2,0,1,2,0,t,,,0,1,,
x,French:,Romance Studies,13,0,0,14,1,0,t,,,0,1,,
o,Greek:,Classical Studies,1,1,1,2,0,1,t,minor,,0,1,,
o,Hebrew:,Asian & Middle Eastern Studies,0,2,0,1,2,0,t,,,0,1,,
o,Italian:,Romance Studies,8,0,0,14,0,1,t,,,0,1,,
o,Japanese:,Asian & Middle Eastern Studies,3,0,0,4,0,0,t,,,0,1,,
o,Kiche:,,2,0,0,2,0,0,t,,,0,1,,
o,Korean:,Asian & Middle Eastern Studies,4,0,0,4,0,0,t,,,0,1,,
o,Latin:,Classical Studies,2,2,0,4,0,0,t,minor,,0,1,,
o,Persian:,Asian & Middle Eastern Studies,2,0,0,1,0,0,t,,,0,1,,
o,Portuguese:,Romance Studies,3,0,0,4,0,0,t,,,0,1,,
o,Turkish:,,1,2,0,4,0,0,t,,,0,1,,
x,Spanish:,Romance Studies,26,0,0,29,0,0,t,,,0,1,,
o,Russian:,,2,6,2,3,7,5,t,major,BA,0,1,,
o,Urdu:,,1,0,0,1,0,0,t,,,0,1,,
o,Child Policy:,,1,0,0,1,1,0,t,certificate,,0,0,,
o,Decision Sciences:,,1,0,0,2,1,0,t,certificate,,0,0,,
o,Ethics:,,7,10,3,9,5,7,t,certificate,,0,0,,
o,House Courses:,,12,8,0,24,10,2,,,,0,0,,
o,Human Rights:,,15,10,1,25,5,2,t,certificate,,0,0,,
o,Writing:,,25,6,3,29,4,3,t,,,0,0,,
